id,clus,articles
86,mater alma institution advisor,2152
90,statistic statistician bibliography probability society,123
93,german mathematician studied germany der,103
88,physicist physic theoretical string,102
85,computer erds professor number science,79
84,group finite simple received,70
95,french mathematician paris mathematical,41
82,russian soviet mathematician moscow nikolai,40
87,,37
94,college mathematical london project fellow,33
83,fellow consistency cardinal statement notion,30
89,reference number content,29
80,note content reference external link,19
92,knot theory manifold invariant topology,19
91,italian mathematician italy died,19
81,research analysis game,18
